project_id,company_id,project_name,start_date,completion_date,project_status,automation_type,robots_deployed,budget_usd,annual_savings_usd,roi_percent,department,implementation_partner,country,industry,employee_hours_saved,ai_enabled,cloud_deployment
PRJ-0000485,COMP-0062,Workflow Orchestration Tool,2022-06-08,2023-11-24,In Progress,Digital Process Automation,9,1506334.1,1888942.96,125.4,Marketing,Deloitte,France,Healthcare,2675,true,false
PRJ-0000486,COMP-0091,Report Generation Module,2021-02-27,2023-11-13,In Progress,Cognitive Automation,28,327331.84,813485.09,248.52,Compliance,BCG,Germany,Pharma,24703,true,true
PRJ-0000487,COMP-0019,Vendor Management Bot,2020-10-15,2020-12-15,Completed,Robotic Process Automation,32,1636506.34,5345647.96,326.65,Legal,BCG,Germany,Telecom,9704,true,false
PRJ-0000488,COMP-0106,Accounts Payable Pipeline,2021-07-02,2023-05-16,In Progress,Robotic Process Automation,30,427934.77,99494.83,23.25,Human Resources,Capgemini,Poland,Manufacturing,20572,false,false
PRJ-0000489,COMP-0138,HR Onboarding System,2020-07-21,2021-04-07,Planning,Intelligent Process Automation,58,1900708.55,6439790.64,338.81,Customer Service,Tata Consultancy Services,United Kingdom,Healthcare,5353,true,false
PRJ-0000490,COMP-0046,Contract Management Platform,2022-05-02,2022-08-24,Planning,Digital Process Automation,36,1649976.92,1956872.63,118.6,Customer Service,Cognizant,India,Logistics,8590,true,false
PRJ-0000491,COMP-0013,IT Ticket Classification System,2020-05-07,2020-04-28,Completed,AI + RPA,17,1725788.85,1726134.01,100.02,Finance,Infosys,Netherlands,Pharma,22181,true,false
PRJ-0000492,COMP-0179,IT Service Management Bot,2021-12-24,2022-08-02,Completed,Digital Process Automation,15,804188.1,2272715.99,282.61,Legal,EY,United States,Healthcare,14543,false,true
PRJ-0000493,COMP-0179,Order Management Bot,2020-01-06,2022-05-25,Completed,Intelligent Process Automation,67,622700.54,1350948.82,216.95,Operations,Capgemini,Japan,Energy,22981,false,false
PRJ-0000494,COMP-0112,IT Service Management Tool,2020-08-18,2020-04-09,Planning,AI + RPA,39,1802564.96,2046091.49,113.51,Supply Chain,PwC,India,Manufacturing,15755,false,true
PRJ-0000495,COMP-0036,Fraud Detection Tool,2020-06-24,2020-06-28,In Progress,Robotic Process Automation,75,520130.44,177572.53,34.14,Sales,Accenture,Canada,Energy,3977,false,true
PRJ-0000496,COMP-0102,Regulatory Reporting Framework,2023-08-27,2023-07-10,On Hold,Digital Process Automation,36,436800.21,247927.8,56.76,Finance,EY,Netherlands,Energy,23951,false,false
PRJ-0000497,COMP-0078,Workflow Orchestration Solution,2023-03-15,2024-07-12,On Hold,Intelligent Process Automation,67,1673329.8,3457099.37,206.6,Human Resources,Cognizant,Brazil,Insurance,16507,true,false
PRJ-0000498,COMP-0199,Workflow Orchestration Solution,2021-12-24,2023-11-06,On Hold,Digital Process Automation,87,1622736.61,6484780.04,399.62,Compliance,Capgemini,Canada,Pharma,22923,true,false
PRJ-0000499,COMP-0156,Workflow Orchestration Bot,2023-11-16,2023-04-14,On Hold,Robotic Process Automation,32,1402642.11,953656.37,67.99,Supply Chain,EY,United States,Retail,4091,true,false
PRJ-0000500,COMP-0087,Employee Offboarding Platform,2022-06-19,2023-08-18,Failed,Intelligent Process Automation,32,180634.95,-2456.64,-1.36,Operations,IBM,Poland,Insurance,19906,false,true
PRJ-0000501,COMP-0199,HR Onboarding Pipeline,2023-03-18,2024-05-20,Completed,AI + RPA,40,575082.57,822540.6,143.03,Marketing,IBM,France,Retail,19233,true,true
PRJ-0000502,COMP-0140,Customer Onboarding KYC System,2022-10-13,2024-06-01,Planning,AI + RPA,90,1959481.97,5937426.32,303.01,Supply Chain,PwC,United Kingdom,Technology,5308,true,true
PRJ-0000503,COMP-0068,Invoice Processing Engine,2020-01-05,2022-03-23,Completed,AI + RPA,55,1260887.12,3781400.47,299.9,Finance,Capgemini,Brazil,Healthcare,9557,false,false
PRJ-0000504,COMP-0020,Data Migration System,2022-04-17,2022-06-17,Completed,Intelligent Process Automation,67,616491.51,1904095.68,308.86,Finance,Wipro,Australia,Pharma,5542,false,false
PRJ-0000505,COMP-0146,Employee Offboarding Tool,2020-09-03,2022-03-02,Failed,Intelligent Process Automation,12,139937.34,-35040.31,-25.04,IT,EY,India,Banking,5214,true,false
PRJ-0000506,COMP-0120,Inventory Management Solution,2023-04-02,2024-09-20,On Hold,AI + RPA,76,1472271.88,3721756.09,252.79,Compliance,BCG,Australia,Insurance,9320,false,false
PRJ-0000507,COMP-0183,Employee Offboarding Pipeline,2022-04-21,2024-11-04,In Progress,AI + RPA,52,1114082.62,2278187.55,204.49,Customer Service,Accenture,Singapore,Banking,11588,true,true
PRJ-0000508,COMP-0148,Billing Automation Engine,2021-04-15,2023-06-24,On Hold,Robotic Process Automation,7,695137.76,1305607.74,187.82,Supply Chain,Cognizant,United States,Insurance,11673,true,true
PRJ-0000509,COMP-0023,Financial Reconciliation Automation,2023-11-08,2023-06-08,In Progress,Robotic Process Automation,8,1387344.06,1137067.19,81.96,Compliance,Cognizant,France,Retail,20750,true,false
PRJ-0000510,COMP-0076,Claims Processing Bot,2022-06-21,2024-02-28,Planning,Cognitive Automation,89,1867910.42,2898996.97,155.2,Marketing,IBM,Netherlands,Manufacturing,8968,false,false
PRJ-0000511,COMP-0146,Email Automation Solution,2022-08-10,2024-10-12,In Progress,Digital Process Automation,66,1048242.4,198746.76,18.96,Legal,PwC,India,Banking,20322,false,true
PRJ-0000512,COMP-0172,Report Generation Framework,2023-04-19,2024-06-08,Completed,AI + RPA,13,748731.82,2928290.15,391.1,Finance,Deloitte,United States,Telecom,15695,false,false
PRJ-0000513,COMP-0102,Supply Chain Reconciliation Platform,2022-05-27,2022-08-24,On Hold,Digital Process Automation,52,170678.12,215156.84,126.06,Human Resources,Deloitte,Poland,Insurance,10935,true,false
PRJ-0000514,COMP-0072,Claims Processing Engine,2020-11-20,2020-04-09,Completed,Digital Process Automation,42,1874873.65,5498629.44,293.28,Compliance,BCG,Canada,Healthcare,20723,false,false
PRJ-0000515,COMP-0095,Loan Processing Pipeline,2022-06-01,2024-04-21,Failed,Intelligent Process Automation,14,399693.47,-66189.24,-16.56,Human Resources,EY,Australia,Technology,10115,false,false
PRJ-0000516,COMP-0057,Document Processing Tool,2021-02-20,2021-12-21,Failed,Cognitive Automation,85,490919.36,71428.77,14.55,Operations,Capgemini,Germany,Manufacturing,10415,false,false
PRJ-0000517,COMP-0195,Compliance Monitoring Pipeline,2023-04-25,2023-03-27,Completed,Intelligent Process Automation,62,1564931.63,3794333.23,242.46,Sales,Capgemini,Germany,Retail,4178,true,false
PRJ-0000518,COMP-0192,Data Validation Automation,2023-09-05,2024-12-16,Completed,AI + RPA,41,1052179.77,2173803.4,206.6,Finance,EY,Brazil,Healthcare,17296,true,false
PRJ-0000519,COMP-0119,Audit Trail Solution,2021-05-25,2022-07-09,In Progress,AI + RPA,18,1246963.45,3577662.83,286.91,Customer Service,PwC,Canada,Banking,19937,false,false
PRJ-0000520,COMP-0062,Sales Order Processing Framework,2020-05-24,2022-04-17,On Hold,Robotic Process Automation,50,527224.69,1138963.5,216.03,Supply Chain,IBM,Brazil,Insurance,11150,false,false
PRJ-0000521,COMP-0145,Billing Automation Tool,2023-10-01,2025-02-04,In Progress,Robotic Process Automation,94,247447.77,968485.83,391.39,Operations,Cognizant,Australia,Healthcare,8066,false,false
PRJ-0000522,COMP-0183,Supply Chain Reconciliation Solution,2020-11-07,2020-05-02,On Hold,Intelligent Process Automation,25,1189901.53,3248074.21,272.97,IT,PwC,Japan,Technology,2432,false,true
PRJ-0000523,COMP-0173,Procure to Pay Platform,2020-06-10,2020-05-13,Failed,Intelligent Process Automation,91,1011748.04,-200427.29,-19.81,Finance,Accenture,Australia,Healthcare,5659,false,true
PRJ-0000524,COMP-0124,Supply Chain Reconciliation Automation,2021-07-09,2021-08-08,Completed,Cognitive Automation,59,262367.02,193758.04,73.85,Sales,IBM,Germany,Manufacturing,19738,false,true
PRJ-0000525,COMP-0052,Customer Service Bot Bot,2020-09-07,2022-05-23,On Hold,Cognitive Automation,13,391945.69,993072.79,253.37,Customer Service,Cognizant,India,Retail,7212,false,false
PRJ-0000526,COMP-0085,Asset Tracking Module,2021-02-21,2021-03-06,On Hold,Robotic Process Automation,42,556971.05,831891.96,149.36,Finance,BCG,Canada,Energy,22329,true,false
PRJ-0000527,COMP-0003,Email Automation Solution,2022-08-10,2024-03-14,In Progress,Intelligent Process Automation,7,662120.66,2610741.76,394.3,Operations,PwC,Japan,Healthcare,4306,false,true
PRJ-0000528,COMP-0096,Billing Automation Engine,2023-05-19,2025-11-02,Planning,Cognitive Automation,75,622853.9,1586533.45,254.72,Finance,Capgemini,France,Logistics,9530,false,true
PRJ-0000529,COMP-0121,Tax Filing Automation,2020-08-08,2021-08-17,In Progress,Cognitive Automation,14,1370760.99,3084760.53,225.04,Compliance,PwC,Brazil,Insurance,4740,true,true
PRJ-0000530,COMP-0101,Billing Automation Automation,2020-01-22,2022-05-13,In Progress,Robotic Process Automation,24,975979.06,1319816.48,135.23,Operations,Cognizant,Brazil,Insurance,8773,false,true
PRJ-0000531,COMP-0130,Asset Tracking Automation,2022-04-28,2024-03-16,Completed,AI + RPA,34,187550.73,59772.42,31.87,Marketing,EY,Poland,Healthcare,1212,false,false
PRJ-0000532,COMP-0049,Purchase Order Processing Tool,2021-01-22,2021-12-10,Completed,Cognitive Automation,35,1111066.74,511646.23,46.05,Marketing,Tata Consultancy Services,Japan,Insurance,5976,true,true
PRJ-0000533,COMP-0035,Employee Offboarding Bot,2023-05-24,2024-03-28,On Hold,AI + RPA,76,634217.94,1282008.14,202.14,Compliance,Capgemini,Poland,Retail,7356,true,true
PRJ-0000534,COMP-0175,Employee Offboarding Automation,2021-07-04,2021-01-21,In Progress,AI + RPA,94,1644531.17,5033252.1,306.06,Customer Service,Tata Consultancy Services,Poland,Retail,19949,false,true
PRJ-0000535,COMP-0035,Vendor Management Tool,2023-04-28,2025-09-07,Failed,AI + RPA,47,1705487.02,-694474.31,-40.72,Operations,IBM,Singapore,Manufacturing,2605,false,true
PRJ-0000536,COMP-0033,Workflow Orchestration Module,2021-06-08,2021-11-03,Completed,Robotic Process Automation,67,1690060.18,6459072.0,382.18,Sales,Wipro,Germany,Pharma,17978,true,false
PRJ-0000537,COMP-0069,Customer Onboarding KYC Automation,2020-11-22,2021-10-17,Completed,AI + RPA,49,303354.33,1081761.54,356.6,Legal,Capgemini,Poland,Telecom,19342,false,false
PRJ-0000538,COMP-0073,Payroll Automation Tool,2020-08-12,2022-09-11,Completed,Cognitive Automation,81,919974.46,3038951.63,330.33,Human Resources,PwC,Australia,Retail,18904,true,false
PRJ-0000539,COMP-0134,Data Migration Solution,2020-08-10,2021-08-08,Planning,Robotic Process Automation,45,620812.67,2416947.89,389.32,Human Resources,KPMG,Germany,Energy,24981,false,true
PRJ-0000540,COMP-0018,Loan Processing Pipeline,2020-10-09,2021-09-28,On Hold,Intelligent Process Automation,99,103413.13,54509.06,52.71,Human Resources,Accenture,Poland,Banking,17041,true,true
PRJ-0000541,COMP-0084,Returns Processing System,2020-08-09,2022-05-12,Planning,Cognitive Automation,80,165980.12,638840.88,384.89,Compliance,PwC,Canada,Manufacturing,3356,false,true
PRJ-0000542,COMP-0100,Contract Management Pipeline,2022-10-27,2024-10-27,In Progress,Digital Process Automation,63,1317906.45,4930815.19,374.14,Marketing,Accenture,Germany,Energy,18655,false,false
PRJ-0000543,COMP-0045,Financial Reconciliation Automation,2022-03-23,2023-04-04,Completed,AI + RPA,47,218711.62,673784.89,308.07,Customer Service,PwC,Poland,Healthcare,17130,false,true
PRJ-0000544,COMP-0199,Sales Order Processing Automation,2023-04-24,2025-08-17,On Hold,Cognitive Automation,75,1533807.13,2065731.44,134.68,IT,Cognizant,Germany,Pharma,2771,false,false
PRJ-0000545,COMP-0187,Loan Processing System,2022-10-06,2023-06-19,Failed,AI + RPA,34,433663.79,-43669.94,-10.07,Human Resources,Cognizant,Japan,Logistics,14833,true,false
PRJ-0000546,COMP-0167,Fraud Detection Platform,2023-01-26,2024-02-05,Planning,Cognitive Automation,69,199852.1,415352.62,207.83,Human Resources,Wipro,United Kingdom,Insurance,11202,true,true
PRJ-0000547,COMP-0116,IT Service Management Pipeline,2021-09-04,2022-12-19,Planning,Digital Process Automation,36,923204.46,2262589.49,245.08,Compliance,Capgemini,Singapore,Energy,19411,false,false
PRJ-0000548,COMP-0197,Employee Offboarding Framework,2022-12-06,2022-02-12,Planning,Robotic Process Automation,46,440288.65,1036307.4,235.37,Customer Service,Capgemini,Brazil,Manufacturing,8380,false,false
PRJ-0000549,COMP-0035,Data Migration Engine,2020-05-04,2021-01-27,Planning,AI + RPA,52,1091363.38,2284550.96,209.33,IT,Deloitte,France,Logistics,23052,false,false
PRJ-0000550,COMP-0176,Credit Risk Analysis Engine,2023-12-05,2023-06-04,Failed,Cognitive Automation,69,1179157.09,-98931.28,-8.39,Sales,Tata Consultancy Services,France,Telecom,1900,false,true
PRJ-0000551,COMP-0134,IT Ticket Classification Pipeline,2022-11-22,2023-05-19,On Hold,Robotic Process Automation,23,477303.01,472195.87,98.93,Sales,KPMG,Australia,Banking,15232,true,false
PRJ-0000552,COMP-0180,Risk Assessment Pipeline,2022-03-18,2022-10-15,Planning,AI + RPA,33,380746.58,337912.59,88.75,Supply Chain,KPMG,United States,Pharma,4807,false,true
PRJ-0000553,COMP-0002,Invoice Processing Automation,2020-12-12,2022-09-18,Failed,Robotic Process Automation,33,1461694.76,-334289.59,-22.87,Sales,Cognizant,Brazil,Pharma,24850,true,true
PRJ-0000554,COMP-0069,Workflow Orchestration Solution,2023-03-02,2023-05-19,Planning,Digital Process Automation,56,1468177.37,2599848.49,177.08,Finance,Deloitte,Netherlands,Retail,6745,false,true
PRJ-0000555,COMP-0042,Compliance Monitoring Solution,2022-10-25,2023-11-21,Failed,Robotic Process Automation,23,634105.5,-275392.02,-43.43,Marketing,Tata Consultancy Services,United Kingdom,Insurance,4673,false,true
PRJ-0000556,COMP-0022,Customer Service Bot Engine,2020-01-08,2021-02-23,In Progress,Robotic Process Automation,46,1607657.99,2087704.67,129.86,Compliance,KPMG,Brazil,Banking,22938,true,false
PRJ-0000557,COMP-0112,Financial Reconciliation Bot,2021-01-10,2022-07-13,In Progress,AI + RPA,29,1474833.07,2296610.06,155.72,Human Resources,Infosys,Germany,Energy,15549,true,true
PRJ-0000558,COMP-0112,Payroll Automation Module,2022-07-06,2023-05-19,Failed,Robotic Process Automation,31,1784706.81,164549.97,9.22,Marketing,Deloitte,United States,Technology,9844,false,true
PRJ-0000559,COMP-0148,Supply Chain Reconciliation System,2023-10-07,2024-01-28,Failed,Robotic Process Automation,48,1984190.18,344455.42,17.36,Supply Chain,Tata Consultancy Services,India,Retail,19759,false,true
PRJ-0000560,COMP-0045,Inventory Management Framework,2023-06-12,2023-05-15,Completed,Robotic Process Automation,15,280976.98,474064.36,168.72,Sales,IBM,Australia,Energy,22188,true,true
PRJ-0000561,COMP-0062,Supply Chain Reconciliation Framework,2021-08-12,2021-06-15,On Hold,Intelligent Process Automation,95,1770877.69,2724141.15,153.83,Compliance,EY,Singapore,Manufacturing,7455,true,false
PRJ-0000562,COMP-0144,Purchase Order Processing Engine,2021-12-16,2023-06-15,Completed,Cognitive Automation,93,1505109.12,696112.97,46.25,Legal,Infosys,Netherlands,Manufacturing,19065,true,false
PRJ-0000563,COMP-0065,Master Data Management Module,2022-05-05,2024-11-27,In Progress,Robotic Process Automation,19,1540946.14,3197771.43,207.52,Finance,Wipro,India,Insurance,12497,true,false
PRJ-0000564,COMP-0166,Trade Reconciliation Platform,2023-01-07,2025-02-14,Failed,Cognitive Automation,44,672113.53,-15660.25,-2.33,Human Resources,Tata Consultancy Services,India,Manufacturing,14085,true,true
PRJ-0000565,COMP-0121,Tax Filing Automation,2022-11-20,2023-11-07,On Hold,Intelligent Process Automation,31,1079864.3,1359117.21,125.86,Finance,Tata Consultancy Services,Brazil,Insurance,21206,true,false
PRJ-0000566,COMP-0105,Contract Management Bot,2023-07-23,2023-12-04,Completed,Digital Process Automation,53,1864376.19,6966987.38,373.69,Marketing,Cognizant,Germany,Telecom,1349,false,false
PRJ-0000567,COMP-0135,Accounts Payable Pipeline,2023-09-10,2025-07-27,Completed,Intelligent Process Automation,51,1038476.35,885301.09,85.25,Human Resources,KPMG,Australia,Retail,2071,true,true
PRJ-0000568,COMP-0106,Payroll Automation Platform,2023-02-24,2024-03-04,Planning,AI + RPA,82,1248707.11,450283.78,36.06,Marketing,PwC,United Kingdom,Pharma,22936,true,false
PRJ-0000569,COMP-0113,Supply Chain Reconciliation Platform,2021-03-02,2021-01-09,On Hold,Cognitive Automation,61,1150596.56,2805039.35,243.79,Sales,IBM,Singapore,Energy,16315,false,true
PRJ-0000570,COMP-0061,Customer Onboarding KYC Automation,2021-03-17,2023-01-01,Failed,AI + RPA,64,420132.84,-131879.7,-31.39,Supply Chain,EY,Netherlands,Banking,2634,true,false
PRJ-0000571,COMP-0165,Sales Order Processing Pipeline,2023-02-08,2024-08-20,Completed,Digital Process Automation,50,1577337.21,5278874.44,334.67,IT,PwC,India,Logistics,15343,true,false
PRJ-0000572,COMP-0098,Vendor Management Solution,2021-02-08,2021-03-08,In Progress,Robotic Process Automation,15,431568.71,593191.19,137.45,Human Resources,Wipro,United States,Banking,3835,false,false
PRJ-0000573,COMP-0188,Audit Trail Module,2022-07-13,2023-04-04,Completed,Digital Process Automation,83,505160.88,425547.53,84.24,Operations,Wipro,France,Telecom,24274,false,false
PRJ-0000574,COMP-0165,Data Validation Automation,2021-05-09,2022-04-16,Planning,Cognitive Automation,54,632843.32,1161140.92,183.48,Sales,IBM,Netherlands,Retail,9788,true,false
PRJ-0000575,COMP-0102,Tax Filing Module,2022-06-14,2022-07-02,On Hold,AI + RPA,41,1960563.63,1394352.85,71.12,IT,Infosys,Canada,Logistics,23393,false,false
PRJ-0000576,COMP-0166,Risk Assessment Framework,2023-10-15,2024-02-06,Planning,Cognitive Automation,85,136748.92,206313.1,150.87,Supply Chain,KPMG,Singapore,Telecom,8190,false,true
PRJ-0000577,COMP-0094,Customer Service Bot System,2020-08-05,2020-11-01,Planning,AI + RPA,23,720580.08,2339795.58,324.71,Finance,Tata Consultancy Services,Australia,Technology,8424,false,true
PRJ-0000578,COMP-0064,Audit Trail Automation,2023-09-06,2024-07-22,Completed,AI + RPA,76,641185.41,1858988.86,289.93,Operations,BCG,France,Telecom,9094,false,true
PRJ-0000579,COMP-0172,Payroll Automation Engine,2020-04-23,2021-10-02,In Progress,Intelligent Process Automation,52,1418866.29,1849208.44,130.33,Supply Chain,Infosys,India,Retail,21359,false,true
PRJ-0000580,COMP-0008,Fraud Detection Pipeline,2023-10-05,2023-09-25,In Progress,Robotic Process Automation,31,621395.37,2402811.62,386.68,Finance,Cognizant,Brazil,Logistics,1685,true,true
PRJ-0000581,COMP-0135,Contract Management Framework,2023-08-13,2024-07-06,Planning,Intelligent Process Automation,33,283393.94,929673.82,328.05,Marketing,Cognizant,Singapore,Retail,19581,true,true
PRJ-0000582,COMP-0052,Tax Filing Automation,2020-08-17,2020-01-08,Planning,Intelligent Process Automation,43,1505870.48,1814423.34,120.49,Supply Chain,Deloitte,Canada,Logistics,9927,false,true
PRJ-0000583,COMP-0176,Sales Order Processing Solution,2023-03-10,2024-02-11,Planning,Cognitive Automation,47,1655530.43,1228238.03,74.19,Legal,BCG,United States,Insurance,2665,false,false
PRJ-0000584,COMP-0126,Workflow Orchestration Platform,2020-10-02,2021-01-03,Completed,Digital Process Automation,99,1826693.95,1546479.1,84.66,Legal,EY,United States,Pharma,23390,true,true
PRJ-0000585,COMP-0102,Asset Tracking Framework,2023-10-05,2024-02-02,Completed,Intelligent Process Automation,68,928974.64,1981131.32,213.26,Compliance,KPMG,United Kingdom,Telecom,2030,false,false
PRJ-0000586,COMP-0138,Asset Tracking Bot,2021-09-07,2021-02-11,Planning,Cognitive Automation,57,847499.56,1643725.4,193.95,Customer Service,Cognizant,France,Pharma,10916,false,true
PRJ-0000587,COMP-0157,Vendor Management Automation,2021-06-20,2022-12-27,Failed,Intelligent Process Automation,65,274952.4,-66126.05,-24.05,Finance,Accenture,Germany,Technology,15978,true,false
PRJ-0000588,COMP-0187,Data Validation Pipeline,2021-04-05,2021-09-03,Planning,Digital Process Automation,79,1001140.56,148068.69,14.79,Marketing,Deloitte,Germany,Logistics,20223,true,true
PRJ-0000589,COMP-0188,Report Generation Module,2023-12-13,2023-06-24,Completed,Intelligent Process Automation,62,1624331.52,3727028.67,229.45,Compliance,Accenture,France,Insurance,14230,true,true
PRJ-0000590,COMP-0043,Loan Processing Tool,2023-02-07,2024-10-14,In Progress,Cognitive Automation,42,551980.9,2190591.4,396.86,Customer Service,Capgemini,Singapore,Retail,18225,true,false
PRJ-0000591,COMP-0177,Expense Reporting Solution,2021-09-12,2021-11-07,Failed,Cognitive Automation,23,1041737.74,-321688.61,-30.88,Marketing,BCG,France,Retail,22695,true,true
PRJ-0000592,COMP-0094,Workflow Orchestration Engine,2021-01-15,2021-01-21,Planning,Cognitive Automation,89,1297013.95,3300900.5,254.5,Legal,Capgemini,Germany,Technology,7460,false,true
PRJ-0000593,COMP-0010,Payroll Automation Engine,2021-07-12,2022-05-03,On Hold,Intelligent Process Automation,77,1350157.47,231146.96,17.12,Customer Service,IBM,United States,Logistics,23608,true,false
PRJ-0000594,COMP-0064,Master Data Management Automation,2022-01-15,2022-03-06,Planning,AI + RPA,94,720834.4,2073696.4,287.68,Human Resources,Accenture,Brazil,Technology,12349,true,false
PRJ-0000595,COMP-0072,Expense Reporting Engine,2021-08-13,2022-03-03,In Progress,Intelligent Process Automation,49,324021.48,289480.79,89.34,Human Resources,KPMG,Canada,Healthcare,6915,false,false
PRJ-0000596,COMP-0051,Risk Assessment Pipeline,2022-03-04,2024-10-28,Failed,Robotic Process Automation,15,1878723.22,-638765.89,-34.0,Customer Service,Deloitte,Australia,Banking,16861,false,true
PRJ-0000597,COMP-0082,Data Migration Module,2020-02-06,2020-08-28,Completed,AI + RPA,56,1964686.57,863676.22,43.96,Sales,IBM,India,Manufacturing,1569,false,false
PRJ-0000598,COMP-0132,Employee Offboarding Platform,2022-08-21,2023-03-15,Planning,Intelligent Process Automation,93,1820702.2,2272964.63,124.84,Sales,Cognizant,United States,Energy,22445,true,false
PRJ-0000599,COMP-0048,Customer Service Bot Framework,2021-06-14,2022-04-12,In Progress,AI + RPA,87,1322113.97,669782.94,50.66,Human Resources,EY,Poland,Retail,11186,true,true
PRJ-0000600,COMP-0034,Order Management Tool,2022-09-19,2023-06-07,Failed,Cognitive Automation,75,1444984.9,-435807.45,-30.16,Finance,PwC,Netherlands,Manufacturing,12992,false,false
PRJ-0000601,COMP-0097,Risk Assessment Framework,2023-07-20,2025-06-28,Failed,Robotic Process Automation,24,862933.93,173449.72,20.1,Operations,IBM,Singapore,Banking,5970,true,false
PRJ-0000602,COMP-0147,HR Onboarding Tool,2020-04-24,2022-01-19,Failed,Intelligent Process Automation,34,834782.17,166622.52,19.96,Finance,IBM,Germany,Energy,7507,false,true
PRJ-0000603,COMP-0046,Financial Reconciliation Automation,2020-04-28,2021-06-17,Completed,AI + RPA,12,1140746.85,2575350.09,225.76,Marketing,Capgemini,Canada,Energy,3513,true,false
PRJ-0000604,COMP-0127,Purchase Order Processing Platform,2021-11-01,2022-08-11,Completed,AI + RPA,31,847026.67,2072843.67,244.72,Supply Chain,PwC,India,Manufacturing,12875,false,false
PRJ-0000605,COMP-0164,Master Data Management Engine,2022-03-12,2023-01-13,Planning,Intelligent Process Automation,96,673337.96,110360.09,16.39,Supply Chain,EY,Canada,Manufacturing,24052,true,false
PRJ-0000606,COMP-0199,Credit Risk Analysis Tool,2021-04-17,2022-11-28,On Hold,Digital Process Automation,72,299468.95,243438.31,81.29,Supply Chain,KPMG,Canada,Manufacturing,22120,true,true
PRJ-0000607,COMP-0143,Purchase Order Processing Bot,2022-05-05,2022-03-09,On Hold,Cognitive Automation,25,172238.11,302381.23,175.56,Sales,BCG,United States,Energy,16939,true,true
PRJ-0000608,COMP-0085,Invoice Processing Automation,2023-01-01,2025-11-10,Completed,Intelligent Process Automation,56,234657.21,507633.94,216.33,Marketing,PwC,Australia,Telecom,20631,false,false
PRJ-0000609,COMP-0135,HR Onboarding Tool,2020-08-28,2021-04-20,Failed,AI + RPA,80,1779614.45,-841223.75,-47.27,Operations,Capgemini,Germany,Insurance,2105,true,false
PRJ-0000610,COMP-0183,Inventory Management Engine,2023-03-23,2023-03-14,Planning,Cognitive Automation,16,817468.26,1661749.48,203.28,Legal,Deloitte,Australia,Logistics,14047,true,true
PRJ-0000611,COMP-0148,Regulatory Reporting Bot,2023-02-26,2024-08-23,Planning,Intelligent Process Automation,60,926164.63,2518519.48,271.93,IT,EY,Poland,Banking,6029,true,true
PRJ-0000612,COMP-0037,Customer Service Bot Bot,2022-01-09,2023-12-05,In Progress,Robotic Process Automation,70,259720.58,880063.19,338.85,Operations,Accenture,United States,Healthcare,9874,false,true
PRJ-0000613,COMP-0016,Audit Trail Tool,2023-10-22,2024-09-11,Completed,Cognitive Automation,87,1045845.75,774135.02,74.02,Legal,Accenture,Netherlands,Healthcare,10787,false,false
PRJ-0000614,COMP-0156,Procure to Pay Pipeline,2020-04-14,2020-11-24,Failed,Digital Process Automation,63,603570.68,-40197.81,-6.66,Marketing,Capgemini,Poland,Logistics,16516,false,true
PRJ-0000615,COMP-0138,Credit Risk Analysis Framework,2021-10-15,2022-06-02,Planning,Robotic Process Automation,55,125469.15,441714.14,352.05,Legal,Wipro,Australia,Technology,20421,false,true
PRJ-0000616,COMP-0040,Document Processing Engine,2020-05-11,2022-11-26,Failed,Robotic Process Automation,22,565656.17,-163644.33,-28.93,Compliance,IBM,France,Retail,15442,false,true
PRJ-0000617,COMP-0025,Credit Risk Analysis Tool,2021-11-21,2022-12-22,On Hold,Intelligent Process Automation,47,994437.19,1879088.51,188.96,Human Resources,Accenture,United States,Energy,1118,false,true
PRJ-0000618,COMP-0023,Procure to Pay Automation,2021-12-01,2022-01-27,In Progress,Cognitive Automation,6,1392025.96,4677068.02,335.99,Human Resources,Deloitte,Germany,Retail,5273,true,false
PRJ-0000619,COMP-0024,Customer Onboarding KYC Pipeline,2021-07-08,2022-11-05,In Progress,Intelligent Process Automation,60,1927853.87,3393022.81,176.0,Customer Service,PwC,Singapore,Insurance,5029,true,true
PRJ-0000620,COMP-0013,Billing Automation Framework,2023-03-06,2024-05-06,In Progress,AI + RPA,32,1573036.14,3494027.87,222.12,Finance,Cognizant,Poland,Telecom,2032,false,true
PRJ-0000621,COMP-0015,Invoice Processing System,2022-11-11,2024-07-07,Failed,Cognitive Automation,46,764682.76,208223.12,27.23,Human Resources,Infosys,Canada,Manufacturing,18959,false,true
PRJ-0000622,COMP-0146,Vendor Management Engine,2023-11-08,2023-05-27,In Progress,Intelligent Process Automation,83,1928543.28,297767.08,15.44,Supply Chain,IBM,Germany,Technology,21413,true,false
PRJ-0000623,COMP-0116,Master Data Management Bot,2022-11-04,2023-12-14,In Progress,Cognitive Automation,84,404186.31,411057.48,101.7,Finance,Tata Consultancy Services,Singapore,Healthcare,7748,false,true
PRJ-0000624,COMP-0167,Document Processing Automation,2020-10-23,2021-01-23,Planning,Intelligent Process Automation,89,1789535.96,6860722.96,383.38,Marketing,Wipro,United Kingdom,Technology,16911,true,false
PRJ-0000625,COMP-0010,Credit Risk Analysis Tool,2022-04-20,2024-01-08,Planning,Cognitive Automation,24,649703.49,2325093.88,357.87,Sales,Deloitte,United Kingdom,Healthcare,2848,true,true
